user_id,sex,age,recent_cold,hexaco.A,hexaco.C,hexaco.E,hexaco.H,hexaco.O,hexaco.X,img,pd,PVDga,PVDpi,recency,WFD,WFN,WMD,WMN,recency.z,PVDga.z,PVDpi.z,img.z,pd.z
44,NA,NA,not recent,3.2,4.1,3.7,2.8,3.4,2.3,3.857142857142857,4.285714285714286,2.75,3,1.5,1.9,1,1.9,1,-1.1668868433560162,-0.997632145275395,-0.5075188045860362,-0.4114180491138921,-0.7440074446790098
45,NA,NA,not recent,3.9,3,2.5,4,3.6,2.2,3,4.285714285714286,3.125,2.4285714285714284,3.5,2.2,1.5,2,1.8,0.033211681822413054,-0.6592900847573617,-0.9546915376130751,-1.1486694120133782,-0.7440074446790098
46,NA,NA,recent,2.6,4.1,3.7,3.2,2.7,2.3,3.2857142857142856,3.2857142857142856,3,4.428571428571429,6,3,2.4,2.8,2,1.5333348382954495,-0.7720707715967062,0.610413027981561,-0.9029189577135496,-1.798205304360144
47,NA,NA,not recent,3.5,4.8,4.7,4.1,3.9,4.6,5.571428571428571,4.142857142857143,4,5,1.5,1,1.1,1.2,1.1,-1.1668868433560162,0.1301747231180492,1.0575857610085997,1.0630846766850797,-0.8946071389191713
48,NA,NA,not recent,3.2,3.3,3.3,2.6,2.4,3.2,5.428571428571429,6.857142857142857,5,3.857142857142857,1.75,2.6,1,2.8,1,-1.0168745277087126,1.0324202178328046,0.16324029495452214,0.9402094495351657,1.9667870516439065
49,NA,NA,recent,3.1,4.9,4.2,3,3.5,3.1,2.857142857142857,5.857142857142857,5.375,5,5.5,1,1,1,1,1.2333102070008422,1.3707622783508377,1.0575857610085997,-1.2715446391632925,0.9125891919627723
50,NA,NA,not recent,3.6,2.8,2,3.9,2.9,3.5,4,5.571428571428571,3.125,2.4285714285714284,1,1,1,1,1,-1.4669114746506233,-0.6592900847573617,-0.9546915376130751,-0.28854282196397785,0.6113898034824484
51,NA,NA,not recent,3.5,4.3,3.8,4.4,3.9,3.5,3.857142857142857,5.857142857142857,4.875,3,4.5,1,1,1.2,1.3,0.6332609444116276,0.9196395309934602,-0.5075188045860362,-0.4114180491138921,0.9125891919627723
52,NA,NA,recent,2.7,3.6,3.9,3,3,3.7,4.285714285714286,5.571428571428571,3.5,3.4285714285714284,7,2.5,1,2.3,1.2,2.133384100884664,-0.3209480242393285,-0.17213925481575718,-0.04279236766414927,0.6113898034824484
53,NA,NA,recent,3,4,3.8,4,2.6,4.5,2.5714285714285716,2.857142857142857,3.5,2.4285714285714284,5,1.6,1,1.3,1,0.9332855757062349,-0.3209480242393285,-0.9546915376130751,-1.517295093463121,-2.25000438708063
54,NA,NA,recent,3.7,4,3.3,3.3,3.2,4.6,5.857142857142857,6.714285714285714,6,2.857142857142857,4.25,4.8,1,4.5,1.3,0.483248628764324,1.93466571254756,-0.6193119878427958,1.3088351309849082,1.816187357403745
55,NA,NA,recent,3.7,4.3,3.1,3.1,2.7,2.3,4.571428571428571,4.857142857142857,3.625,2.7142857142857144,5,2.6,1.8,3.6,2.7,0.9332855757062349,-0.20816733739998408,-0.7311051710995555,0.2029580866356793,-0.14160866771836197
56,NA,NA,recent,4.3,4,3,3.3,3.7,4.3,4.428571428571429,4.571428571428571,3.625,2.7142857142857144,5.25,1.2,1,1.5,1.5,1.0832978913535385,-0.20816733739998408,-0.7311051710995555,0.08008285948576539,-0.4428080561986859
57,NA,NA,not recent,3.1,3.9,3.6,3.1,3.9,4.2,5.285714285714286,6.857142857142857,6,3.857142857142857,1.5,2.3,1,2,1,-1.1668868433560162,1.93466571254756,0.16324029495452214,0.8173342223852511,1.9667870516439065
58,NA,NA,not recent,4.1,3.4,3.9,2.9,2.2,3.6,2.857142857142857,5,5.125,3.7142857142857144,1.5,1.6,1.2,1.6,1.3,-1.1668868433560162,1.145200904672149,0.05144711169776247,-1.2715446391632925,0.008991026521800477
59,NA,NA,recent,3.3,3.5,4.3,2.9,3.5,3.9,4.857142857142857,4.857142857142857,4.375,3.857142857142857,3.5,4.3,1.6,3.9,2.4,0.033211681822413054,0.46851678363608246,0.16324029495452214,0.4487085409355078,-0.14160866771836197
60,NA,NA,not recent,2.4,2.8,4.6,4.2,4.4,3.6,2.7142857142857144,4,1.5,2.142857142857143,2,1.3,1,1.2,1,-0.8668622120614088,-2.125439013668839,-1.1782779041265945,-1.3944198663132068,-1.0452068331593338
61,NA,NA,recent,4.3,3.7,3.8,3.8,4,1.9,3.857142857142857,5.428571428571429,4,5,6.5,2.5,1.1,2.7,1.2,1.8333594695900568,0.1301747231180492,1.0575857610085997,-0.4114180491138921,0.46079010924228686
62,NA,NA,not recent,3.8,3.7,3.5,3.7,1.9,2,3.5714285714285716,5.714285714285714,4.375,2.142857142857143,2,3.5,2.3,3.3,2.9,-0.8668622120614088,0.46851678363608246,-1.1782779041265945,-0.6571685034137207,0.7619894977226108
63,NA,NA,not recent,3,3.2,3.4,2.7,3.4,3.3,4.428571428571429,5,3.125,3.142857142857143,2,1.4,1,1.5,1,-0.8668622120614088,-0.6592900847573617,-0.3957256213292765,0.08008285948576539,0.008991026521800477
65,NA,NA,not recent,3.8,3.6,3.3,2.8,2.4,2.6,5.285714285714286,6.714285714285714,5.5,4,1.5,1.5,1,1.9,1.6,-1.1668868433560162,1.4835429651901821,0.27503347821128177,0.8173342223852511,1.816187357403745
