user_id,face_type,rt,sex,age,recent_cold,img,pd,PVDga,PVDpi,recency,recency.z,PVDga.z,PVDpi.z
1,disfigured,709.75,NA,NA,not recent,1.5714285714285714,3.4285714285714284,3.125,3.142857142857143,3.75,0.18270760173806255,-1.4103163637494034,-0.5163007766828929
1,normal,649.2173913043479,NA,NA,not recent,1.5714285714285714,3.4285714285714284,3.125,3.142857142857143,3.75,0.18270760173806255,-1.4103163637494034,-0.5163007766828929
2,disfigured,588.2380952380952,NA,NA,not recent,2.2857142857142856,3,3.375,2.5714285714285716,1.25,-1.3155694595495266,-1.0114892397271815,-1.6876535995957076
2,normal,568.4782608695652,NA,NA,not recent,2.2857142857142856,3,3.375,2.5714285714285716,1.25,-1.3155694595495266,-1.0114892397271815,-1.6876535995957076
3,disfigured,653.695652173913,NA,NA,not recent,3.4285714285714284,4.142857142857143,3.75,3.4285714285714284,2.25,-0.7162586350344909,-0.4132485536938487,0.06937563477351442
3,normal,627.1666666666666,NA,NA,not recent,3.4285714285714284,4.142857142857143,3.75,3.4285714285714284,2.25,-0.7162586350344909,-0.4132485536938487,0.06937563477351442
5,disfigured,828.8695652173913,NA,NA,not recent,5,4.857142857142857,4.875,3.142857142857143,1.25,-1.3155694595495266,1.3814735044061495,-0.5163007766828929
5,normal,668.2916666666666,NA,NA,not recent,5,4.857142857142857,4.875,3.142857142857143,1.25,-1.3155694595495266,1.3814735044061495,-0.5163007766828929
6,disfigured,845.7916666666666,NA,NA,not recent,4.857142857142857,5.428571428571429,4,3.7142857142857144,2.25,-0.7162586350344909,-0.014421429671626927,0.6550520462299226
6,normal,849,NA,NA,not recent,4.857142857142857,5.428571428571429,4,3.7142857142857144,2.25,-0.7162586350344909,-0.014421429671626927,0.6550520462299226
7,disfigured,484.1904761904762,NA,NA,recent,4.714285714285714,5.714285714285714,3.75,4.285714285714286,4.25,0.4823630139955804,-0.4132485536938487,1.8264048691427373
7,normal,447.5217391304348,NA,NA,recent,4.714285714285714,5.714285714285714,3.75,4.285714285714286,4.25,0.4823630139955804,-0.4132485536938487,1.8264048691427373
8,disfigured,662,NA,NA,not recent,4.142857142857143,4.428571428571429,4.25,2.5714285714285716,2.5,-0.566430928905732,0.3844056943505949,-1.6876535995957076
8,normal,594.2857142857143,NA,NA,not recent,4.142857142857143,4.428571428571429,4.25,2.5714285714285716,2.5,-0.566430928905732,0.3844056943505949,-1.6876535995957076
9,disfigured,547.8571428571429,NA,NA,not recent,3.142857142857143,4,4,2.5714285714285716,1,-1.4653971656782854,-0.014421429671626927,-1.6876535995957076
9,normal,561.5909090909091,NA,NA,not recent,3.142857142857143,4,4,2.5714285714285716,1,-1.4653971656782854,-0.014421429671626927,-1.6876535995957076
10,disfigured,1049.375,NA,NA,not recent,4.428571428571429,5.285714285714286,4.75,3.142857142857143,1,-1.4653971656782854,1.1820599423950384,-0.5163007766828929
10,normal,1128.8333333333333,NA,NA,not recent,4.428571428571429,5.285714285714286,4.75,3.142857142857143,1,-1.4653971656782854,1.1820599423950384,-0.5163007766828929
11,disfigured,813.6521739130435,NA,NA,not recent,3.5714285714285716,5.571428571428571,5,4,3.25,-0.11694781051945527,1.5808870664172603,1.24072845768633
11,normal,769.9130434782609,NA,NA,not recent,3.5714285714285716,5.571428571428571,5,4,3.25,-0.11694781051945527,1.5808870664172603,1.24072845768633
12,disfigured,769.047619047619,NA,NA,not recent,3.5714285714285716,4.142857142857143,3,3.5714285714285716,3.5,0.03287989560930365,-1.6097299257605142,0.362213840501719
12,normal,763.5217391304348,NA,NA,not recent,3.5714285714285716,4.142857142857143,3,3.5714285714285716,3.5,0.03287989560930365,-1.6097299257605142,0.362213840501719
13,disfigured,509.57142857142856,NA,NA,not recent,5.857142857142857,5.714285714285714,4.75,2.7142857142857144,2,-0.8660863411632498,1.1820599423950384,-1.3948153938675039
13,normal,461.9047619047619,NA,NA,not recent,5.857142857142857,5.714285714285714,4.75,2.7142857142857144,2,-0.8660863411632498,1.1820599423950384,-1.3948153938675039
