subject	blockcode	trialcode	trialnum	latency	response	stimulusitem1	stimulusitem2	stimulusitem3	stimulusitem4	stimulusitem5										
401	real_b	real_topleft_same_b	11	706	23	mask.bmp	blankscreen.bmp	wmd9.bmp	blankscreen.bmp	square.bmp										
401	real_b	real_bottomleft_diff_b	12	448	18	mask.bmp	blankscreen.bmp	wmn8.bmp	blankscreen.bmp	circle.bmp										
401	real_b	real_topright_diff_b	13	608	23	mask.bmp	blankscreen.bmp	wfn6.bmp	blankscreen.bmp	square.bmp										
401	real_b	real_topleft_diff_b	14	690	23	mask.bmp	blankscreen.bmp	wmn6.bmp	blankscreen.bmp	square.bmp										
401	real_b	real_topright_same_b	15	529	18	mask.bmp	blankscreen.bmp	wmn10.bmp	blankscreen.bmp	circle.bmp										
401	real_b	real_topleft_diff_b	16	1006	23	mask.bmp	blankscreen.bmp	wfd7.bmp	blankscreen.bmp	circle.bmp										
401	real_b	real_topright_diff_b	17	888	23	mask.bmp	blankscreen.bmp	wfd8.bmp	blankscreen.bmp	square.bmp										
401	real_b	real_bottomright_diff_b	18	711	18	mask.bmp	blankscreen.bmp	wfn8.bmp	blankscreen.bmp	circle.bmp										
401	real_b	real_topright_diff_b	19	1069	23	mask.bmp	blankscreen.bmp	wmn7.bmp	blankscreen.bmp	square.bmp										
401	real_b	real_bottomleft_diff_b	20	548	23	mask.bmp	blankscreen.bmp	wmd6.bmp	blankscreen.bmp	square.bmp										
401	real_c	real_bottomright_diff_c	1	1102	23	mask.bmp	blankscreen.bmp	wfd5.bmp	blankscreen.bmp	square.bmp										
401	real_c	real_topleft_same_c	2	844	18	mask.bmp	blankscreen.bmp	wfd1.bmp	blankscreen.bmp	circle.bmp										
401	real_c	real_topleft_diff_c	3	660	23	mask.bmp	blankscreen.bmp	wfd3.bmp	blankscreen.bmp	circle.bmp										
401	real_c	real_topright_same_c	4	1076	18	mask.bmp	blankscreen.bmp	wfn2.bmp	blankscreen.bmp	circle.bmp										
401	real_c	real_bottomleft_diff_c	5	1323	23	mask.bmp	blankscreen.bmp	wfd4.bmp	blankscreen.bmp	square.bmp										
401	real_c	real_topleft_diff_c	6	592	18	mask.bmp	blankscreen.bmp	wfn4.bmp	blankscreen.bmp	circle.bmp										
401	real_c	real_bottomright_diff_c	7	563	23	mask.bmp	blankscreen.bmp	wmd3.bmp	blankscreen.bmp	square.bmp										
401	real_c	real_bottomright_same_c	8	583	23	mask.bmp	blankscreen.bmp	wmn2.bmp	blankscreen.bmp	square.bmp										
401	real_c	real_topleft_same_c	9	626	23	mask.bmp	blankscreen.bmp	wfn1.bmp	blankscreen.bmp	square.bmp										
401	real_c	real_bottomright_diff_c	10	644	23	mask.bmp	blankscreen.bmp	wmn4.bmp	blankscreen.bmp	square.bmp										
401	real_c	real_bottomright_same_c	11	628	23	mask.bmp	blankscreen.bmp	wmd2.bmp	blankscreen.bmp	square.bmp										
401	real_c	real_topright_same_c	12	638	18	mask.bmp	blankscreen.bmp	wmd1.bmp	blankscreen.bmp	circle.bmp										
401	real_c	real_topleft_diff_c	13	598	18	mask.bmp	blankscreen.bmp	wmn5.bmp	blankscreen.bmp	circle.bmp										
401	real_c	real_topright_diff_c	14	712	18	mask.bmp	blankscreen.bmp	wmn3.bmp	blankscreen.bmp	circle.bmp										
401	real_c	real_bottomleft_diff_c	15	518	23	mask.bmp	blankscreen.bmp	wmd5.bmp	blankscreen.bmp	square.bmp										
401	real_c	real_bottomleft_same_c	16	579	23	mask.bmp	blankscreen.bmp	wmn1.bmp	blankscreen.bmp	circle.bmp										
401	real_c	real_bottomleft_same_c	17	782	18	mask.bmp	blankscreen.bmp	wfd2.bmp	blankscreen.bmp	circle.bmp										
401	real_c	real_topright_diff_c	18	609	23	mask.bmp	blankscreen.bmp	wmd4.bmp	blankscreen.bmp	square.bmp										
401	real_c	real_bottomleft_diff_c	19	795	18	mask.bmp	blankscreen.bmp	wfn3.bmp	blankscreen.bmp	circle.bmp										
401	real_c	real_topright_diff_c	20	638	23	mask.bmp	blankscreen.bmp	wfn5.bmp	blankscreen.bmp	square.bmp										
401	real_d	real_bottomleft_diff_d	1	1692	23	mask.bmp	blankscreen.bmp	wmn9.bmp	blankscreen.bmp	square.bmp										
401	real_d	real_topright_same_d	2	635	18	mask.bmp	blankscreen.bmp	wmd7.bmp	blankscreen.bmp	circle.bmp										
401	real_d	real_topright_diff_d	3	1059	18	mask.bmp	blankscreen.bmp	wmd10.bmp	blankscreen.bmp	circle.bmp										
401	real_d	real_bottomright_diff_d	4	619	23	mask.bmp	blankscreen.bmp	wfd8.bmp	blankscreen.bmp	square.bmp										
401	real_d	real_bottomright_same_d	5	1517	23	mask.bmp	blankscreen.bmp	wfn7.bmp	blankscreen.bmp	square.bmp										
401	real_d	real_topright_same_d	6	682	23	mask.bmp	blankscreen.bmp	wfd6.bmp	blankscreen.bmp	square.bmp										
401	real_d	real_topleft_diff_d	7	673	18	mask.bmp	blankscreen.bmp	wmd9.bmp	blankscreen.bmp	circle.bmp										
401	real_d	real_bottomright_same_d	8	760	18	mask.bmp	blankscreen.bmp	wfd7.bmp	blankscreen.bmp	circle.bmp										
401	real_d	real_bottomleft_same_d	9	596	18	mask.bmp	blankscreen.bmp	wfn6.bmp	blankscreen.bmp	circle.bmp										
401	real_d	real_bottomleft_same_d	10	511	18	mask.bmp	blankscreen.bmp	wmn7.bmp	blankscreen.bmp	circle.bmp										
401	real_d	real_topleft_diff_d	11	597	18	mask.bmp	blankscreen.bmp	wfn10.bmp	blankscreen.bmp	circle.bmp										
401	real_d	real_topright_diff_d	12	815	18	mask.bmp	blankscreen.bmp	wfn8.bmp	blankscreen.bmp	circle.bmp										
401	real_d	real_topleft_same_d	13	689	23	mask.bmp	blankscreen.bmp	wmn6.bmp	blankscreen.bmp	square.bmp										
401	real_d	real_bottomleft_diff_d	14	799	18	mask.bmp	blankscreen.bmp	wfd10.bmp	blankscreen.bmp	circle.bmp										
401	real_d	real_topright_diff_d	15	721	23	mask.bmp	blankscreen.bmp	wfd9.bmp	blankscreen.bmp	square.bmp										
401	real_d	real_bottomleft_diff_d	16	543	18	mask.bmp	blankscreen.bmp	wmd8.bmp	blankscreen.bmp	square.bmp										
401	real_d	real_topleft_same_d	17	780	23	mask.bmp	blankscreen.bmp	wmd6.bmp	blankscreen.bmp	square.bmp										
401	real_d	real_bottomright_diff_d	18	1134	18	mask.bmp	blankscreen.bmp	wfn9.bmp	blankscreen.bmp	circle.bmp										
401	real_d	real_bottomright_diff_d	19	1075	18	mask.bmp	blankscreen.bmp	wmn10.bmp	blankscreen.bmp	circle.bmp										
401	real_d	real_topleft_diff_d	20	594	18	mask.bmp	blankscreen.bmp	wmn8.bmp	blankscreen.bmp	circle.bmp										
402	practice	practice_topleft_same	1	5210	23	mask.bmp	blankscreen.bmp	practice2.jpg	blankscreen.bmp	circle.bmp										
402	practice	practice_topleft_same	2	491	23	mask.bmp	blankscreen.bmp	practice1.jpg	blankscreen.bmp	circle.bmp										
402	practice	practice_bottomleft_same	3	536	23	mask.bmp	blankscreen.bmp	practice5.jpg	blankscreen.bmp	circle.bmp										
402	practice	practice_bottomleft_same	4	948	18	mask.bmp	blankscreen.bmp	practice6.jpg	blankscreen.bmp	square.bmp										
402	practice	practice_bottomright_diff	5	2143	23	mask.bmp	blankscreen.bmp	practice12.jpg	blankscreen.bmp	circle.bmp										
402	practice	practice_topleft_diff	6	618	18	mask.bmp	blankscreen.bmp	practice9.jpg	blankscreen.bmp	square.bmp										
402	practice	practice_topright_same	7	530	18	mask.bmp	blankscreen.bmp	practice4.jpg	blankscreen.bmp	square.bmp										
402	practice	practice_bottomleft_diff	8	678	18	mask.bmp	blankscreen.bmp	practice11.jpg	blankscreen.bmp	square.bmp										
402	practice	practice_bottomright_same	9	484	18	mask.bmp	blankscreen.bmp	practice8.jpg	blankscreen.bmp	square.bmp										
402	practice	practice_bottomright_same	10	930	23	mask.bmp	blankscreen.bmp	practice7.jpg	blankscreen.bmp	circle.bmp										
402	practice	practice_topright_diff	11	910	23	mask.bmp	blankscreen.bmp	practice10.jpg	blankscreen.bmp	circle.bmp										
