user_id,face_type,site,rt,sex,age,recent_cold,hexaco.A,hexaco.C,hexaco.E,hexaco.H,hexaco.O,hexaco.X,img,pd,PVDga,PVDpi,recency,WFD,WFN,WMD,WMN,recency.z,PVDga.z,PVDpi.z,img.z,pd.z
39,typical,MI,399.7083333333333,NA,NA,not recent,3.2,3.9,3.6,3.2,3.5,3.6,5.571428571428571,4.857142857142857,4.25,3.7142857142857144,3.5,3.6,1.4,4,1.1,0.033211681822413054,0.355736096796738,0.05144711169776247,1.0630846766850797,-0.14160866771836197
40,disfigured,MI,588.0452724904751,NA,NA,not recent,2.8,3.9,4.4,2.5,3.1,3.8,6,6.428571428571429,5.75,4.571428571428571,2,2.1,1,1.7,1,-0.8668622120614088,1.7091043388688711,0.7222062112383204,1.431710358134823,1.5149879689234211
40,typical,MI,567.3913043478261,NA,NA,not recent,2.8,3.9,4.4,2.5,3.1,3.8,6,6.428571428571429,5.75,4.571428571428571,2,2.1,1,1.7,1,-0.8668622120614088,1.7091043388688711,0.7222062112383204,1.431710358134823,1.5149879689234211
41,disfigured,MI,516.8028595345772,NA,NA,recent,2.4,4.6,4,3.6,2.4,3.3,6.142857142857143,6.142857142857143,3.75,6.285714285714286,5.25,2.9,1,2.7,1,1.0832978913535385,-0.09538665056063965,2.063724410319437,1.5545855852847374,1.2137885804430972
41,typical,MI,521.9583333333334,NA,NA,recent,2.4,4.6,4,3.6,2.4,3.3,6.142857142857143,6.142857142857143,3.75,6.285714285714286,5.25,2.9,1,2.7,1,1.0832978913535385,-0.09538665056063965,2.063724410319437,1.5545855852847374,1.2137885804430972
42,disfigured,MI,750.0041717753033,NA,NA,recent,2.4,3,3.6,2.7,3.1,4.7,7,7.142857142857143,5.75,3.2857142857142856,5.25,5.3,2.2,5.2,2.3,1.0832978913535385,1.7091043388688711,-0.28393243807251684,2.291836948184223,2.2679864401242313
42,typical,MI,860.4807595634275,NA,NA,recent,2.4,3,3.6,2.7,3.1,4.7,7,7.142857142857143,5.75,3.2857142857142856,5.25,5.3,2.2,5.2,2.3,1.0832978913535385,1.7091043388688711,-0.28393243807251684,2.291836948184223,2.2679864401242313
43,disfigured,MI,880.0246801976714,NA,NA,not recent,2.5,4.5,3.2,3.8,3.2,3.5,5.714285714285714,5.428571428571429,6.125,4.714285714285714,2.5,1.8,1.3,2.1,1.7,-0.5668375807668016,2.0474463993869043,0.8339993944950804,1.1859599038349944,0.46079010924228686
43,typical,MI,874.7826086956521,NA,NA,not recent,2.5,4.5,3.2,3.8,3.2,3.5,5.714285714285714,5.428571428571429,6.125,4.714285714285714,2.5,1.8,1.3,2.1,1.7,-0.5668375807668016,2.0474463993869043,0.8339993944950804,1.1859599038349944,0.46079010924228686
44,disfigured,MI,528.2169270107515,NA,NA,not recent,3.2,4.1,3.7,2.8,3.4,2.3,3.857142857142857,4.285714285714286,2.75,3,1.5,1.9,1,1.9,1,-1.1668868433560162,-0.997632145275395,-0.5075188045860362,-0.4114180491138921,-0.7440074446790098
44,typical,MI,566.3181818181819,NA,NA,not recent,3.2,4.1,3.7,2.8,3.4,2.3,3.857142857142857,4.285714285714286,2.75,3,1.5,1.9,1,1.9,1,-1.1668868433560162,-0.997632145275395,-0.5075188045860362,-0.4114180491138921,-0.7440074446790098
45,disfigured,MI,515.0909090909091,NA,NA,not recent,3.9,3,2.5,4,3.6,2.2,3,4.285714285714286,3.125,2.4285714285714284,3.5,2.2,1.5,2,1.8,0.033211681822413054,-0.6592900847573617,-0.9546915376130751,-1.1486694120133782,-0.7440074446790098
45,typical,MI,492.7826086956522,NA,NA,not recent,3.9,3,2.5,4,3.6,2.2,3,4.285714285714286,3.125,2.4285714285714284,3.5,2.2,1.5,2,1.8,0.033211681822413054,-0.6592900847573617,-0.9546915376130751,-1.1486694120133782,-0.7440074446790098
