user_id,blockcode,position,trial_type,block,trialnum,rt,response,site,stim_id,face_sex,face_type,target,correct,mean_rt,sd_rt,n_correct
402,real_a,bottomright,diff,a,6,454,23,VU,wmd1,m,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_a,topright,diff,a,8,431,23,VU,wmn1,m,typical,square,1,400.3829787234043,71.39527240209328,47
402,real_a,topleft,diff,a,9,376,23,VU,wmd2,m,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_a,bottomleft,diff,a,11,504,23,VU,wfn1,f,typical,square,1,400.3829787234043,71.39527240209328,47
402,real_a,bottomleft,diff,a,12,430,23,VU,wmn2,m,typical,square,1,400.3829787234043,71.39527240209328,47
402,real_a,bottomright,diff,a,13,407,18,VU,wmn3,m,typical,circle,1,400.3829787234043,71.39527240209328,47
402,real_a,topright,diff,a,15,446,18,VU,wmd3,m,disfigured,circle,1,400.3829787234043,71.39527240209328,47
402,real_a,topright,diff,a,16,431,23,VU,wfd2,f,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_a,bottomright,diff,a,17,448,23,VU,wfn2,f,typical,square,1,400.3829787234043,71.39527240209328,47
402,real_a,topleft,diff,a,19,417,23,VU,wfd1,f,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_b,topright,diff,b,1,451,18,VU,wfn6,f,typical,circle,1,400.3829787234043,71.39527240209328,47
402,real_b,bottomleft,diff,b,2,483,18,VU,wfn7,f,typical,circle,1,400.3829787234043,71.39527240209328,47
402,real_b,bottomright,diff,b,5,359,18,VU,wfn8,f,typical,circle,1,400.3829787234043,71.39527240209328,47
402,real_b,topleft,diff,b,6,371,23,VU,wfd7,f,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_b,bottomleft,diff,b,7,367,23,VU,wmn8,m,typical,square,1,400.3829787234043,71.39527240209328,47
402,real_b,topleft,diff,b,9,469,23,VU,wmd8,m,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_b,topright,diff,b,10,341,23,VU,wmn7,m,typical,square,1,400.3829787234043,71.39527240209328,47
402,real_b,bottomleft,diff,b,11,369,18,VU,wmd6,m,disfigured,circle,1,400.3829787234043,71.39527240209328,47
402,real_b,bottomright,diff,b,12,381,18,VU,wmd7,m,disfigured,circle,1,400.3829787234043,71.39527240209328,47
402,real_b,topleft,diff,b,16,311,23,VU,wmn6,m,typical,square,1,400.3829787234043,71.39527240209328,47
402,real_b,bottomright,diff,b,18,362,23,VU,wfd6,f,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_b,topright,diff,b,19,334,18,VU,wfd8,f,disfigured,circle,1,400.3829787234043,71.39527240209328,47
402,real_c,bottomleft,diff,c,2,355,23,VU,wfn3,f,typical,square,1,400.3829787234043,71.39527240209328,47
402,real_c,bottomleft,diff,c,4,378,23,VU,wmd5,m,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_c,topright,diff,c,6,542,18,VU,wfn5,f,typical,circle,1,400.3829787234043,71.39527240209328,47
402,real_c,topright,diff,c,9,368,18,VU,wmn3,m,typical,circle,1,400.3829787234043,71.39527240209328,47
402,real_c,topleft,diff,c,10,419,23,VU,wmn5,m,typical,square,1,400.3829787234043,71.39527240209328,47
402,real_c,bottomleft,diff,c,11,340,23,VU,wfd4,f,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_c,bottomright,diff,c,12,393,23,VU,wfd5,f,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_c,topleft,diff,c,13,435,18,VU,wfn4,f,typical,circle,1,400.3829787234043,71.39527240209328,47
402,real_c,bottomright,diff,c,14,428,23,VU,wmd3,m,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_c,topleft,diff,c,15,453,18,VU,wfd3,f,disfigured,circle,1,400.3829787234043,71.39527240209328,47
402,real_c,bottomright,diff,c,18,498,18,VU,wmn4,m,typical,circle,1,400.3829787234043,71.39527240209328,47
402,real_c,topright,diff,c,19,464,18,VU,wmd4,m,disfigured,circle,1,400.3829787234043,71.39527240209328,47
