term,num.Df,den.Df,statistic,pes,p.value
recent_cold,1,400,4.2303262748793555,0.010465138313256349,0.040355841084744076
face_type,1,400,14.963028480787228,0.03605870271278882,1.2795591978505608e-4
recent_cold:face_type,1,400,1.8655233778888198,0.004642158307605303,0.1727561404124562
